eventID,station_name,origin_time,start_time,channel_name,network,sta_longitude,sta_latitude,sta_depth,ev_longitude,ev_latitude,ev_depth,E_P_idx,N_P_idx,Z_P_idx,E_shift(s),N_shift(s),Z_shift(s),sampling_rate,Z_npts,N_npts,E_npts,Z_factor,N_factor,E_factor,epi_dist,hypo_dist,magnitude
13010321.P18,BS.MASB.01.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(N/E),CWBSN,120.63259887695312,22.61090087890625,-0.1059000015258789,121.24130249023438,22.865299224853516,8.930000305175781,7245,7245,7245,0.0,0.0,0.0,100.0,36001,36001,36001,,,,68.57918342216428,69.17190103794678,3.85
13010321.P18,BS.TWGB.01.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(N/E),CWBSN,121.07990264892578,22.817699432373047,-0.28989999389648435,121.24130249023438,22.865299224853516,8.930000305175781,6380,6380,6380,0.0,0.0,0.0,100.0,36001,36001,36001,,,,17.38480056480745,19.678359997798655,3.85
13010321.P18,BS.YULB.01.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(N/E),CWBSN,121.2970962524414,23.392499923706055,-0.3761000061035156,121.24130249023438,22.865299224853516,8.930000305175781,7027,7027,7027,0.0,0.0,0.0,100.0,36001,36001,36001,,,,58.6642761987903,59.397818183259446,3.85
13010321.P18,TW.CHK.10.EH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,EHZ(N/E),CWBSN,121.37300109863281,23.09779930114746,-0.034,121.24130249023438,22.865299224853516,8.930000305175781,6604,6604,6604,0.0,0.0,0.0,100.0,36001,36001,36001,8.89e-09,8.89e-09,8.89e-09,29.074234737729373,30.424733804189326,3.85
13010321.P18,TW.CHK.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,121.37300109863281,23.09779930114746,-0.034,121.24130249023438,22.865299224853516,8.930000305175781,6609,6609,6609,0.0,0.0,0.0,100.0,36001,36001,36001,3.25e-06,3.25e-06,3.23e-06,29.074234737729373,30.424733804189326,3.85
13010321.P18,TW.CHKH.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,121.39569854736328,23.191699981689453,0.093,121.24130249023438,22.865299224853516,8.930000305175781,6748,6748,6748,0.0,0.0,0.0,100.0,36001,36001,36001,1.51e-09,1.48e-09,1.61e-09,39.45963997214891,40.437059254170414,3.85
13010321.P18,TW.CHKH.00.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(1/2),CWBSN,121.39569854736328,23.191699981689453,0.093,121.24130249023438,22.865299224853516,8.930000305175781,6747,6747,6747,0.0,0.0,0.0,100.0,36001,36001,36001,6.4e-06,6.35e-06,6.4e-06,39.45963997214891,40.437059254170414,3.85
13010321.P18,TW.CHKH.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,121.39569854736328,23.191699981689453,-0.007,121.24130249023438,22.865299224853516,8.930000305175781,6758,6758,6758,0.0,0.0,0.0,100.0,36001,36001,36001,6.42e-06,6.48e-06,6.39e-06,39.45963997214891,40.45903065060166,3.85
13010321.P18,TW.D028.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.647501Z,HLZ(N/E),TSMIP,120.59919738769531,22.826000213623047,-0.086,121.24130249023438,22.865299224853516,8.930000305175781,7271,7271,7271,0.0,0.0,0.0,100.0,36001,36001,36001,2.45e-06,2.45e-06,2.45e-06,66.04833871092579,66.66086789096065,3.85
13010321.P18,TW.D034.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),TSMIP,120.62779998779297,22.52829933166504,-0.095,121.24130249023438,22.865299224853516,8.930000305175781,14648,14648,14648,0.0,0.0,0.0,200.0,72001,72001,72001,3.23e-06,3.23e-06,3.24e-06,73.25588933997767,73.8097280410887,3.85
13010321.P18,TW.D054.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),TSMIP,120.72119903564453,23.276399612426758,-0.723,121.24130249023438,22.865299224853516,8.930000305175781,14638,14638,14638,0.0,0.0,0.0,200.0,72001,72001,72001,3.25e-06,3.24e-06,3.27e-06,70.09289183503893,70.75446205498415,3.85
13010321.P18,TW.D069.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.647501Z,HLZ(N/E),TSMIP,120.66470336914062,22.885799407958984,-0.256,121.24130249023438,22.865299224853516,8.930000305175781,7103,7103,7103,0.0,0.0,0.0,100.0,36001,36001,36001,2.45e-06,2.45e-06,2.45e-06,59.21195759101944,59.920268051531394,3.85
13010321.P18,TW.D072.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),TSMIP,120.60050201416016,22.666400909423828,-0.055,121.24130249023438,22.865299224853516,8.930000305175781,14589,14589,14589,0.0,0.0,0.0,200.0,72001,72001,72001,3.23e-06,3.22e-06,3.19e-06,69.39738002329447,69.97661455501802,3.85
